income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,cab_requests,bar_no,neighbor_income,age,client_segment,sect_empl,fam_adult_size,children_no,tenure_mts,claims_no,claims_am,nights_booked,shop_am,outcome_damage_inc,credit_use_ic_0.0,credit_use_ic_1.0,credit_use_ic_Undefined,insurance_ic_0.0,insurance_ic_1.0,insurance_ic_Undefined,spa_ic_0.0,spa_ic_1.0,spa_ic_Undefined,married_cd_False,married_cd_True,sport_ic_0.0,sport_ic_1.0,sport_ic_Undefined,marketing_permit_0.0,marketing_permit_1.0,marketing_permit_Undefined,urban_ic_0.0,urban_ic_1.0,urban_ic_Undefined,dining_ic_0.0,dining_ic_1.0,dining_ic_Undefined,presidential_0.0,presidential_1.0,presidential_Undefined,prev_stay_0.0,prev_stay_1.0,prev_stay_Undefined,prev_all_in_stay_0.0,prev_all_in_stay_1.0,prev_all_in_stay_Undefined,company_ic_0.0,company_ic_1.0,company_ic_Undefined,gender_M,gender_Undefined,gender_V,shop_use_0.0,shop_use_1.0,shop_use_Undefined,retired_0.0,retired_1.0,retired_Undefined,gold_status_0.0,gold_status_1.0,gold_status_Undefined
-0.36734998616798614,-0.6124880611006698,0.7604453433475056,6.790097235513905,1.9459101490553132,0.2736531498628119,-0.6,-0.6309297535714573,-0.5237331672667277,-0.32,0.0,0.6931471805599453,0.5,1.0986122886681098,1.0777607163936844,0.0,0.0,1.2662147519890072,0.0,0.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.28642624698755265,-0.18951105851333816,-0.1776460813539401,0.0,0.0,-0.0823200978001054,0.2,-0.3690702464285425,-3.0902600238860116,-1.08,0.0,0.0,-0.5,0.0,-1.307365445624908,0.0,0.0,-0.43487199937743287,0.0,1.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.25987205788822676,-0.1380290211410267,-0.18546637188922863,0.0,0.0,-0.0823200978001054,-1.0,-0.1659562328535303,0.024523171025257837,-0.96,0.0,0.0,-0.5,0.0,-0.9461436660764352,0.0,0.0,-0.2817368851556853,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.36734998616798614,-0.6124880611006698,-0.17504860837798303,0.0,0.0,-0.869453057760477,0.0,0.36907024642854275,-0.01858578424473698,-0.32,0.0,0.0,0.5,1.0986122886681098,0.0,0.0,0.0,-0.43487199937743287,0.0,0.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1.0456555704547594,0.4230546612560987,0.8590645775821444,6.666956792429207,1.0986122886681098,0.2654520490675719,-0.4,-0.6309297535714573,-0.41731190470464347,-0.76,2.9141274161468447,0.0,0.0,0.0,0.42968634720377735,0.0,0.0,-0.536429006164939,7.2829059297292575,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1.1542792095734358,0.2339816348227334,1.7431019429123373,0.0,0.0,-0.869453057760477,-0.6,0.1403139955899648,-0.7402844004486527,1.56,2.9141274161468447,0.0,-0.5,0.0,0.4084380072303378,0.0,0.0,-0.43487199937743287,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
1.6222606937505963,-0.10977664334580571,2.9837707476340647,0.0,0.0,0.2736531498628119,0.4,1.0492141056749176,0.15248001079246398,0.04,4.981733722339869,0.0,0.5,1.0986122886681098,0.2703237974029805,0.0,0.0,0.8437422689776236,0.0,1.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
-0.36734998616798614,-0.6124880611006698,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.010301302931596012,0.46497352071792736,-0.4994993886576692,0.44,-4.981733722339869,0.0,0.0,0.0,0.0,0.0,0.0,-0.43487199937743287,0.0,0.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
-0.3630760537659626,0.38751193889933017,-0.2323896763541246,0.0,0.0,-0.869453057760477,-0.6,0.1403139955899648,0.15929367459636634,-0.48,-4.981733722339869,0.0,0.0,0.0,-1.445479655452265,0.0,0.0,-0.43487199937743287,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.3630760537659626,0.38751193889933017,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.4,0.1403139955899648,-0.0963213517272413,-0.64,0.0,0.0,0.0,0.0,-0.6805394164084404,0.0,0.0,-0.43487199937743287,0.0,1.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
