income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,cab_requests,bar_no,neighbor_income,age,client_segment,sect_empl,fam_adult_size,children_no,tenure_mts,claims_no,claims_am,nights_booked,shop_am,outcome_damage_amount,credit_use_ic_0.0,credit_use_ic_1.0,credit_use_ic_Undefined,insurance_ic_0.0,insurance_ic_1.0,insurance_ic_Undefined,spa_ic_0.0,spa_ic_1.0,spa_ic_Undefined,married_cd_False,married_cd_True,sport_ic_0.0,sport_ic_1.0,sport_ic_Undefined,marketing_permit_0.0,marketing_permit_1.0,marketing_permit_Undefined,urban_ic_0.0,urban_ic_1.0,urban_ic_Undefined,dining_ic_0.0,dining_ic_1.0,dining_ic_Undefined,presidential_0.0,presidential_1.0,presidential_Undefined,prev_stay_0.0,prev_stay_1.0,prev_stay_Undefined,prev_all_in_stay_0.0,prev_all_in_stay_1.0,prev_all_in_stay_Undefined,company_ic_0.0,company_ic_1.0,company_ic_Undefined,gender_M,gender_Undefined,gender_V,shop_use_0.0,shop_use_1.0,shop_use_Undefined,retired_0.0,retired_1.0,retired_Undefined,gold_status_0.0,gold_status_1.0,gold_status_Undefined
-0.28642624698755265,-0.18951105851333816,-0.1776460813539401,0.0,0.0,-0.0823200978001054,0.2,-0.3690702464285425,-3.0902600238860116,-1.08,0.0,0.0,-0.5,0.0,-1.307365445624908,0.0,0.0,-0.43487199937743287,0.0,6.722220565524845,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1.6222606937505963,-0.10977664334580571,2.9837707476340647,0.0,0.0,0.2736531498628119,0.4,1.0492141056749176,0.15248001079246398,0.04,4.981733722339869,0.0,0.5,1.0986122886681098,0.2703237974029805,0.0,0.0,0.8437422689776236,0.0,6.790198467735082,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
-0.3630760537659626,0.38751193889933017,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.4,0.1403139955899648,-0.0963213517272413,-0.64,0.0,0.0,0.0,0.0,-0.6805394164084404,0.0,0.0,-0.43487199937743287,0.0,6.890242827230839,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1.3206707096386043,0.5771208699896565,0.9990011594963043,0.0,0.0,0.2736531498628119,1.0,0.6309297535714574,0.3052446134285312,0.32,2.9141274161468447,0.6931471805599453,0.0,0.0,-0.5636735465545227,0.0,0.0,0.19605775419402463,0.0,6.182188207166081,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0.93155984381451,0.44761461791667556,0.5390317378001254,7.924072324923417,1.9459101490553132,0.24712849099428214,0.8,0.46497352071792736,-0.18269863415769236,0.32,2.9141274161468447,0.0,0.0,0.6931471805599453,1.0830728013870443,0.0,0.0,0.03372799163004341,0.0,6.95435256435892,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
-0.3068579949752091,-0.6124880611006698,2.3856476551326127,7.541683099882111,1.6094379124341003,-0.869453057760477,-0.2,0.0,-0.21872794727097256,0.04,0.0,0.0,0.0,0.0,-0.016528792238453726,1.0986122886681098,0.0,-0.43487199937743287,0.0,5.994435130552815,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0.08786850468940428,0.11304462363203585,-0.17072974028127103,6.98100574072173,1.3862943611198906,0.16473912619801742,-0.6,-0.1659562328535303,-0.19392787492970048,-0.56,0.0,0.6931471805599453,0.5,1.0986122886681098,0.7643477017854506,0.0,0.0,0.6884085050049605,0.0,6.80128303447162,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
-0.36734998616798614,-0.6124880611006698,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.0,0.2618595071429147,-0.7764982595280423,-0.72,-4.981733722339869,0.0,0.0,0.0,0.0,0.0,0.0,-0.43487199937743287,0.0,5.700945119836041,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
-0.36734998616798614,-0.6124880611006698,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.0,0.2618595071429147,0.45132924130727303,0.36,0.0,0.0,0.5,0.0,1.0724486314003245,0.6931471805599453,7.428333194190806,-0.43487199937743287,0.0,7.121212064706803,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
-0.36734998616798614,-0.6124880611006698,-0.2323896763541246,0.0,0.0,-0.869453057760477,0.8,-0.1659562328535303,-0.19078095673485937,0.32,-4.981733722339869,0.0,0.0,0.0,0.0,0.0,0.0,-0.43487199937743287,0.0,5.915177278935863,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
