income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,cab_requests,bar_no,neighbor_income,age,client_segment,sect_empl,fam_adult_size,children_no,tenure_mts,claims_no,claims_am,nights_booked,shop_am,outcome_profit,outcome_damage_inc,outcome_damage_amount,credit_use_ic_False,credit_use_ic_True,credit_use_ic_Undefined,insurance_ic_False,insurance_ic_True,insurance_ic_Undefined,spa_ic_False,spa_ic_True,spa_ic_Undefined,married_cd_ic_False,married_cd_ic_True,sport_ic_False,sport_ic_True,sport_ic_Undefined,marketing_permit_ic_False,marketing_permit_ic_True,marketing_permit_ic_Undefined,urban_ic_False,urban_ic_True,urban_ic_Undefined,dining_ic_False,dining_ic_True,dining_ic_Undefined,presidential_ic_False,presidential_ic_True,presidential_ic_Undefined,prev_stay_ic_False,prev_stay_ic_True,prev_stay_ic_Undefined,prev_all_in_stay_ic_False,prev_all_in_stay_ic_True,prev_all_in_stay_ic_Undefined,company_ic_False,company_ic_True,company_ic_Undefined,gender_M,gender_Undefined,gender_V,shop_use_ic_False,shop_use_ic_True,shop_use_ic_Undefined,retired_ic_False,retired_ic_True,retired_ic_Undefined,gold_status_ic_False,gold_status_ic_True,gold_status_ic_Undefined
-0.36734998616798614,-0.6124880611006698,0.7604453433475056,6.790097235513905,6,0.2736531498628119,3,2,-0.5237331672667234,37,0.0,1,3,2,476,0,0.0,209,0.0,0.07839832201203614,0.0,0.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.28642624698755265,-0.18951105851333816,-0.1776460813539401,0.0,0,-0.0823200978001054,7,3,-3.090260023885986,18,0.0,0,1,0,27,0,0.0,4,0.0,-0.05582549904140884,1.0,1.2644740597403357,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.25987205788822676,-0.1380290211410267,-0.18546637188922863,0.0,0,-0.0823200978001054,1,4,0.024523171025257636,21,0.0,0,1,0,95,0,0.0,6,0.0,-1.058723590910471,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.36734998616798614,-0.6124880611006698,-0.17504860837798303,0.0,0,-0.869453057760477,6,8,-0.01858578424473683,37,0.0,0,3,2,271,0,0.0,4,0.0,0.07176347037756628,0.0,0.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1.0456555704547594,0.4230546612560987,0.8590645775821444,6.666956792429207,2,0.2654520490675719,4,2,-0.41731190470464,26,2.9141274161468447,0,2,0,354,0,0.0,3,7.2829059297292575,1.1759526367391708,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1.1542792095734358,0.2339816348227334,1.7431019429123373,0.0,0,-0.869453057760477,3,6,-0.7402844004486466,84,2.9141274161468447,0,1,0,350,0,0.0,4,0.0,1.7988387603743052,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
1.6222606937505963,-0.10977664334580571,2.9837707476340647,0.0,0,0.2736531498628119,8,18,0.15248001079246273,46,4.981733722339869,0,3,2,324,0,0.0,82,0.0,-0.051191224689352936,1.0,1.2772609495995053,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
-0.36734998616798614,-0.6124880611006698,-0.2323896763541246,0.0,0,-0.869453057760477,6,9,-0.499499388657665,56,-4.981733722339869,0,2,0,271,0,0.0,4,0.0,-0.8277142172141865,0.0,0.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
-0.3630760537659626,0.38751193889933017,-0.2323896763541246,0.0,0,-0.869453057760477,3,6,0.159293674596365,33,-4.981733722339869,0,2,0,1,0,0.0,4,0.0,-0.09414633687335396,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-0.3630760537659626,0.38751193889933017,-0.2323896763541246,0.0,0,-0.869453057760477,8,6,-0.0963213517272405,29,0.0,0,2,0,145,0,0.0,4,0.0,0.1534550566236036,1.0,1.2960796563308046,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
