income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,cab_requests,bar_no,neighbor_income,age,client_segment,sect_empl,fam_adult_size,children_no,tenure_mts,claims_no,claims_am,nights_booked,shop_am,credit_use_ic_0.0,credit_use_ic_1.0,credit_use_ic_Undefined,insurance_ic_0.0,insurance_ic_1.0,insurance_ic_Undefined,spa_ic_0.0,spa_ic_1.0,spa_ic_Undefined,married_cd_False,married_cd_True,sport_ic_0.0,sport_ic_1.0,sport_ic_Undefined,marketing_permit_0.0,marketing_permit_1.0,marketing_permit_Undefined,urban_ic_0.0,urban_ic_1.0,urban_ic_Undefined,dining_ic_0.0,dining_ic_1.0,dining_ic_Undefined,presidential_0.0,presidential_1.0,presidential_Undefined,prev_stay_0.0,prev_stay_1.0,prev_stay_Undefined,prev_all_in_stay_0.0,prev_all_in_stay_1.0,prev_all_in_stay_Undefined,company_ic_0.0,company_ic_1.0,company_ic_Undefined,gender_M,gender_Undefined,gender_V,shop_use_0.0,shop_use_1.0,shop_use_Undefined,retired_0.0,retired_1.0,retired_Undefined,gold_status_0.0,gold_status_1.0,gold_status_Undefined,Dmg_class,Dmg_amount,Profit_amount
1.0310605161243878,0.550233211343506,1.827743443925098,0.0,0.0,0.2777746798193014,1.25,0.1900911776928238,0.2541911619862861,-0.0833333333333333,1.0,0.6931471805599453,0.5,1.0986122886681098,1.517495048571159,0.0,0.0,0.8218120328819019,8.429176764196743,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0,805.6941100992368,1503.5999397885369
0.8781618975686362,-0.3548161164664111,0.6950173689195003,0.0,0.0,0.3301665441209113,0.25,0.0,0.5817392979701502,-0.0833333333333333,0.0,0.6931471805599453,0.0,0.0,-0.5336558465695059,0.0,0.0,-0.2724375685669187,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,777.8745479459068,1911.6339055215437
0.3373179139879494,-0.0392082945719545,0.9359502931629184,6.013715156042802,1.6094379124341005,0.3253741551073228,1.0,0.8547556456757273,0.7478577379461246,-0.25,0.0,0.0,0.5,0.6931471805599453,-0.2523259232958487,0.0,0.0,1.4878020564500989,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.0,1093.839714706235,1392.3604195815024
0.6650855481265862,0.2971986839172877,0.0937035432930337,0.0,0.0,-0.7773981450079146,-0.5,0.0,-0.4894415569298876,0.9166666666666666,0.0,0.0,-0.5,0.0,0.4944771457578598,0.0,0.0,-0.3758640159354622,0.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,613.3457648772381,2125.9943630476896
0.2489561573893028,0.1081864995313275,0.0444160253057459,0.0,0.0,-0.7773981450079146,-0.25,-2.209511291351454,0.5612384526441336,0.7916666666666666,1.0,0.0,-0.5,0.0,0.7093109053486526,0.0,0.0,0.6294866520967143,0.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,493.0800915827219,1354.6433880330499
-0.3738877298140239,-0.6982122049081693,-0.2374960048663839,0.0,0.0,-0.7773981450079146,-0.5,0.1900911776928238,-1.7684006564348953,-1.0833333333333333,-1.7095112913514543,0.0,-0.5,0.0,-1.4185663325030098,0.0,0.0,-0.2724375685669187,0.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,480.53698956555877,1494.9568554667871
0.4072707889785411,0.2187397762153104,0.2447386500263571,0.0,0.0,0.3301665441209113,-0.25,0.7474574155078949,-2.8723108177398164,-0.4166666666666667,0.0,0.0,0.0,0.0,-0.482504951428841,0.0,0.0,0.2047883151009829,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.0,665.7531479721204,1265.4317608637893
0.6893727747292635,0.3112072083403045,0.145013107558579,0.0,0.0,-0.7773981450079146,0.0,0.3547556456757271,-0.0878334405654569,0.7083333333333334,0.0,0.0,-0.5,0.0,0.5302827723563253,0.0,0.0,-0.5092038975949189,7.255606215343016,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0,621.2784315130631,2733.530188481411
1.086570366053952,0.4367586787838675,1.8801711456457664,7.755338812846501,1.0986122886681098,0.3039703185124983,1.0,-0.4999999999999999,1.0321391785881968,-0.4583333333333333,1.0,0.0,0.0,0.0,-0.7280292481040328,0.0,0.0,-0.2724375685669187,0.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.0,817.000560098838,2507.9287308093094
1.215134613224092,0.519614299297523,0.5283343109772233,0.0,0.0,-0.7773981450079146,0.0,-0.4999999999999999,-0.870174250962652,1.4583333333333333,1.0,0.0,-0.5,0.0,0.2336075805404684,0.0,0.0,0.6160510052267606,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0.0,515.9657536697333,935.513539000724
